order_id,customer_id,product_name,sale_amount,order_date
1,383,Self-Adhesive Wallpaper,1029.48,2025-03-15
2,485,Casual Long Cardigan,4472.73,2025-09-19
3,427,Luxury Rolling Makeup Case,3648.16,2025-01-03
4,152,Digital Voice Recorder,496.83,2025-08-13
5,540,Athletic Compression Tights,539.63,
6,298,Summer Tank Dress,1767.26,2025-12-31
7,67,Chickpeas,542.58,2025-08-04
8,184,Laundry Detergent,20.7,2025-11-27
9,18,Spicy Snack Mix,749.8,2025-09-02
10,397,Vegetarian Chili,97.34,2025-02-15
11,273,Multi-Tool,4869.5,2025-05-18
12,260,Herbed Goat Cheese,4914.94,2025-02-25
13,71,Premium Flashlight,361.75,2025-01-03
14,515,Solar Garden Lights,2107.38,
15,511,Classic Black Dress,1642.07,2025-02-02
16,131,Organic Cereal Bars,1175.39,2025-12-31
17,180,Woven Storage Baskets,337.07,2025-02-23
18,340,Portable Pet Pooper Scooper,3710.57,2025-09-14
19,152,Nutritional Yeast,4923.2,2025-05-10
20,160,Smoked Salmon,307.78,2025-01-22
21,397,Frozen Mixed Vegetables,3420.09,2025-02-17
22,518,Travel Beach Blanket,634.72,2025-07-20
23,488,Sporty Cap,4470.32,2025-06-21
24,194,Spice Rack,292.51,2025-06-24
25,441,Mini Fondue Set,628.02,2025-05-02
26,103,Coconut Bowls Set,2394.47,2025-06-20
27,377,Magnetic Whiteboard,429.21,2025-09-18
28,151,Maple Glazed Carrots,1550.54,2025-04-11
29,240,Decorative Throw Pillows,3996.7,2025-12-19
30,96,Dark Chocolate Covered Almonds,2814.17,2025-04-26
31,180,Chili Garlic Sauce,1960.76,2025-05-30
32,132,Smashed Avocado with Lime,872.55,2025-08-23
33,204,Rolling Cooler,73.23,2025-02-02
34,161,High-Top Leather Boots,,2025-02-21
35,264,Adjustable Bar Stools,427.76,2025-05-23
36,229,Graphic Print Leggings,3814.16,2025-09-30
37,542,Ultra-Thin Laptop Sleeve,1098.52,2025-02-03
38,15,Crispy Potato Tots,4369.82,2025-05-19
39,330,Garlic & Herb Goat Cheese,1426.57,2025-06-07
40,103,Home Karaoke System,,2025-09-22
41,236,Cotton Sweatpants,2745.83,
42,540,Peach Halves (canned),4208.45,2025-04-07
43,29,Oven Mitts,3676.91,2025-04-04
44,404,Multi-Purpose Marine Rope,4933.65,2025-11-02
45,539,Classic Pumps,2441.36,2025-11-08
46,371,Durable Hiking Boots,4890.84,2025-02-19
47,380,Vegetable Pizza Rolls,2189.31,2025-09-20
48,428,Electric Milk Frother,2234.67,2025-02-20
49,495,Wall-Mounted Organizer,4278.02,2025-07-07
50,356,Travel Organizer,3324.39,
51,215,Tattoo Kit,4650.43,2025-10-30
52,20,Travel Organizer,353.37,2025-01-17
53,400,Sketchbook,2056.3,2025-03-06
54,379,Emergency Preparedness Kit,4042.62,2025-03-13
55,376,Almond Flour Brownies,3250.29,2025-04-09
56,519,Chickpea Pasta,4447.23,2025-01-14
57,538,Caribbean Jerk Marinade,4972.22,2025-06-21
58,438,Chicken Broth,2479.96,2025-03-12
59,82,Vegetable Stir-Fry Kit,4347.24,2025-11-25
60,162,Avocado Lime Dressing,3218.8,2025-11-10
61,304,Casual Sneakers,1252.76,2025-05-16
62,366,Cushion Covers,1415.44,2025-04-26
63,529,Green Smoothie Mix,2720.88,2025-06-27
64,310,Garden Vegetable Soup,4981.92,2025-11-16
65,505,Portable Air Conditioner,1320.22,2025-05-28
66,71,Honey Sesame Chicken Mix,3400.63,2025-10-09
67,301,Electric Bike,284.42,2025-10-20
68,253,Pet Safety Belt for Car,260.41,2025-09-19
69,119,Orange Ginger Vinaigrette,3963.95,2025-09-11
70,108,Chino Shorts,3254.32,2025-10-21
71,458,Natural Fruit Snacks,1913.38,2025-12-20
72,160,Organic Black Bean Burger,137.84,2025-01-10
73,259,Sweet Potato Tots,4083.69,2025-12-11
74,441,Luminous Night Light,523.57,2025-04-04
75,13,Coloring Books for Adults,3206.88,2025-01-01
76,251,Sourdough Bread,199.34,
77,337,Greek Yogurt Parfait,4997.15,2025-05-17
78,216,Portable Bluetooth Speaker,64.21,2025-07-08
79,28,LED Strip Lights Kit,2493.53,2025-03-25
80,85,Vegetable Broth,525.79,2025-11-03
81,419,Sports Windbreaker,3777.36,2025-01-23
82,387,DIY Lip Balm Making Kit,3277.13,2025-02-07
83,338,Personalized Pet ID Tags,2524.65,2025-01-08
84,11,Slingback Sandals,3054.15,2025-03-24
85,82,Pepperoni Pizza Roll-Ups,841.48,2025-01-25
86,321,Honey Sesame Cashews,1458.89,2025-10-31
87,502,Sunglasses,2553.44,2025-09-27
88,8,Mini Pretzels,1526.34,2025-03-31
89,15,Barbecue Chicken Pizza,1771.39,2025-02-05
90,440,Smartphone Gimbal Stabilizer,3441.46,2025-09-22
91,512,Portable Hammock,73.21,2025-06-22
92,70,Sports Water Bottle with Infuser,1277.1,2025-02-10
93,433,Sunglasses,1413.15,2025-05-01
94,11,Gardening Fairy Figurines,1952.01,2025-10-01
95,152,Honey Mustard Chicken Breasts,2787.61,2025-04-29
96,428,Sooji (Semolina),3292.93,2025-01-15
97,54,Lemon Basil Pasta Sauce,791.83,2025-05-27
98,226,Electric Air Pump,1183.53,2025-10-05
99,384,Caramel Apple Chips,3099.85,2025-02-23
100,34,Portable Speaker Stand,2665.94,2025-05-13
101,413,Garden Vegetable Soup,1496.27,2025-01-03
102,9,Gluten-Free Bread,3132.19,2025-08-21
103,67,Garlic Herb Cream Cheese,2127.0,2025-02-18
104,249,Portable Charger with Solar Panel,1353.8,2025-12-23
105,501,Chocolate Dipped Fruit,3260.04,2025-10-06
106,7,Electric Hot Water Dispenser,3327.11,2025-07-01
107,458,Caramel Apple Chips,1502.35,2025-11-03
108,457,Almond Flour Pancake Mix,3845.66,2025-02-19
109,409,Pesto Pasta Salad,2457.26,2025-08-07
110,56,Garlic Breadsticks,3194.25,2025-08-27
111,111,Energy Protein Bars,1995.77,2025-10-29
112,71,Cranberry Almond Granola,4675.9,2025-04-27
113,285,Chili Powder,4112.49,2025-07-06
114,422,Nordic Berry Smoothie,102.15,2025-06-20
115,59,Teriyaki Chicken Stir-Fry,3670.75,2025-11-30
116,82,Vegetable Potstickers,,2025-05-02
117,65,Phone Case,3750.78,2025-07-08
118,43,Car Vacuum,4342.79,2025-06-07
119,242,Granola Bars,2940.31,2025-11-10
120,442,Almond Butter Cups,4652.69,2025-04-23
121,462,Vintage Graphic Tee,4612.2,2025-03-17
122,400,Silicone Cooking Utensils Set,381.79,2025-11-10
123,44,Customizable Photo Calendar,3705.92,2025-07-21
124,139,Blue Corn Tortilla Chips,4402.81,2025-08-23
125,341,Sparkling Blood Orange Soda,1909.46,2025-12-05
126,56,Baby Monitor,3006.99,2025-08-20
127,19,Mini Electric Kettle,2106.48,2025-12-29
128,467,Utility Cargo Pants,4552.07,2025-06-07
129,5,Electric Screwdriver,1070.8,2025-05-06
130,276,Peach Slices in Syrup,2182.29,2025-12-24
131,416,Reflective Safety Vest,1479.16,2025-01-01
132,158,Margherita Pizza,2595.37,
133,463,Portable Bluetooth Headphones,4842.26,2025-08-06
134,262,Vegetable Curry,4596.52,2025-07-17
135,79,Tandoori Chicken Marinade,1245.77,2025-10-09
136,396,Kids' Outdoor Explorer Kit,185.81,2025-03-06
137,183,Smart Light Switch,4416.99,2025-09-25
138,334,Almond Joy Protein Bars,4884.93,2025-04-27
139,132,Graphic Hoodie,3530.4,2025-04-30
140,149,Garden Vegetable Soup,2997.99,2025-02-25
141,323,Recipe Book Stand,2632.77,2025-04-23
142,258,Personal Blender with Travel Lid,4032.99,2025-11-12
143,318,Smart Plant Monitor,,2025-12-15
144,211,Electric Razor,606.61,2025-05-04
145,42,Fashionable Fanny Pack,,2025-10-30
146,487,Herbal Tea Sampler Box,493.46,2025-02-10
147,108,Apple Pie Filling,2999.29,2025-01-21
148,140,Italian Herbal Seasoning,4618.54,2025-02-20
149,379,Fishing Tackle Box,2979.85,2025-01-07
150,161,Rice Pilaf Mix,4973.17,2025-11-01
151,398,Coconut Oil Spray,686.39,2025-06-03
152,225,Wireless Charger Stand,735.38,2025-06-10
153,488,Buffalo Wing Sauce,2480.78,2025-08-20
154,438,Portable Air Pump,2245.65,2025-06-21
155,549,Fleece Throw Blanket,1468.27,2025-03-08
156,139,Wireless Car Charger,4225.67,2025-11-14
157,73,Canned Black Beans,3724.32,2025-12-26
158,374,Voice-Controlled Speaker,3952.59,2025-12-30
159,100,Essential Oils Diffuser Necklace,928.65,2025-08-13
160,339,Emergency Preparedness Kit,549.1,2025-11-13
161,84,Peanut Butter Banana Smoothie Mix,1506.01,2025-04-17
162,109,Personal Blender with Cups,2991.67,2025-11-10
163,382,Couscous Mix,2615.12,2025-10-27
164,375,Instant Camera,3471.71,2025-01-18
165,431,Pumpkin Puree,1270.13,2025-11-14
166,182,Pet Hair Removal Roller,2508.29,2025-09-13
167,210,Coconut Chips,4885.05,2025-01-07
168,152,Compact Electric Kettle,3004.86,2025-08-01
169,258,Spiralizer,4793.67,
170,370,Mini Waffle Maker,248.0,2025-01-09
171,39,Honey Sesame Cashews,1703.03,2025-01-08
172,196,Kids' Gardening Kit,3975.18,2025-07-31
173,473,DIY Candle Making Kit,2809.63,2025-05-15
174,471,Fruit Infuser Water Bottle,3602.1,2025-12-20
175,360,Children's Backpack,4247.82,2025-09-25
176,92,Garlic and Herb Rub,847.2,2025-09-08
177,316,Chili Beans (canned),1396.65,2025-09-04
178,236,Customizable Name Plate,3365.18,2025-06-22
179,37,Baked Falafel Balls,4967.41,2025-09-20
180,375,Teriyaki Stir-Fry Sauce,742.53,2025-09-07
181,478,LED Christmas Lights,132.61,2025-04-04
